date,as_of,regime,gross_exposure,cash_weight,gate_reason
2026-02-03,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-03,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-04,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-05,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-06,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-07,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-08,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-09,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-10,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-11,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-12,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-13,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-14,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-15,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-16,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-17,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-18,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-19,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-20,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-21,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-22,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-23,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-24,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-25,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-26,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-27,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
2026-02-28,2025-12-30,risk-on,0.917413,0.082587,"VOL_TARGET: vol_est=10.43%, target=12.00% → raw_scale=1.15, scale=1.00 (CLIPPED)"
